date,close,open,high,low,volume
4-May-2016,1239.00,1236.95,1247.03,1228.50,1360000
5-May-2016,1235.15,1239.00,1244.97,1231.78,1250000
6-May-2016,1236.70,1232.50,1242.15,1215.50,885000000
9-May-2016,1256.28,1236.70,1259.00,1228.20,1820000
10-May-2016,1261.45,1257.50,1266.97,1248.00,1160000
11-May-2016,1259.15,1250.00,1262.80,1245.00,1600000
12-May-2016,1283.10,1260.28,1284.95,1260.28,1510000
13-May-2016,1261.70,1282.50,1283.00,1255.08,1620000
16-May-2016,1275.58,1269.00,1282.40,1261.25,1110000
17-May-2016,1285.10,1282.10,1295.62,1276.00,1760000
18-May-2016,1275.55,1282.92,1282.92,1263.03,1500000
19-May-2016,1278.47,1277.50,1280.00,1263.05,1040000
20-May-2016,1264.65,1271.15,1282.90,1261.40,1230000
23-May-2016,1245.72,1272.00,1272.95,1240.10,1530000
24-May-2016,1233.85,1242.00,1244.12,1229.80,1340000
25-May-2016,1263.22,1240.50,1266.47,1240.50,1550000
26-May-2016,1274.35,1265.00,1282.45,1252.55,1940000
27-May-2016,1286.33,1276.58,1289.92,1275.30,1100000
30-May-2016,1318.20,1291.50,1320.97,1291.00,1350000
31-May-2016,1284.70,1320.00,1323.50,1281.00,3720000
1-Jun-2016,1316.78,1285.60,1322.50,1285.50,1910000
2-Jun-2016,1325.08,1300.00,1327.15,1300.00,1410000
3-Jun-2016,1314.78,1325.70,1329.00,1310.25,1550000
6-Jun-2016,1306.25,1310.25,1319.50,1301.60,1320000
7-Jun-2016,1315.58,1307.00,1319.50,1306.50,1200000
8-Jun-2016,1306.55,1308.62,1314.28,1302.75,938000000
9-Jun-2016,1288.62,1311.20,1311.20,1277.60,1560000
10-Jun-2016,1277.88,1283.00,1301.62,1276.60,1400000
13-Jun-2016,1273.50,1270.00,1276.67,1259.00,1030000
14-Jun-2016,1267.42,1279.47,1279.47,1259.12,977000000
15-Jun-2016,1278.42,1265.00,1282.45,1261.00,1270000
16-Jun-2016,1279.15,1272.78,1282.35,1258.22,1150000
17-Jun-2016,1301.30,1279.50,1305.00,1279.50,1880000
20-Jun-2016,1329.65,1301.30,1334.00,1295.90,1870000
21-Jun-2016,1325.60,1331.75,1332.50,1320.70,1030000
22-Jun-2016,1333.83,1325.00,1338.85,1315.88,1760000
23-Jun-2016,1322.67,1327.50,1329.75,1312.65,1400000
24-Jun-2016,1286.97,1282.58,1296.60,1257.08,3770000
27-Jun-2016,1247.92,1273.50,1273.50,1241.33,4270000
28-Jun-2016,1231.97,1247.92,1251.45,1229.20,4500000
29-Jun-2016,1251.45,1237.50,1256.25,1232.65,2530000
30-Jun-2016,1276.55,1261.00,1281.45,1250.17,5120000
1-Jul-2016,1250.42,1281.00,1282.30,1247.17,2200000
4-Jul-2016,1247.10,1258.00,1262.92,1241.00,1880000
5-Jul-2016,1242.65,1247.10,1248.53,1238.58,1560000
7-Jul-2016,1214.90,1243.85,1245.92,1212.50,3320000
8-Jul-2016,1213.30,1217.50,1221.03,1201.75,2460000
11-Jul-2016,1232.08,1215.00,1235.90,1213.50,1540000
12-Jul-2016,1232.47,1235.85,1237.50,1217.92,1470000
13-Jul-2016,1246.55,1239.00,1249.62,1225.62,2100000
14-Jul-2016,1260.95,1243.00,1264.50,1235.50,2700000
15-Jul-2016,1222.67,1258.50,1263.90,1213.28,8340000
18-Jul-2016,1216.72,1223.50,1234.50,1215.30,2600000
19-Jul-2016,1233.10,1213.75,1236.40,1213.75,2360000
20-Jul-2016,1247.47,1225.00,1251.25,1224.08,2820000
21-Jul-2016,1253.03,1244.75,1259.75,1232.22,2530000
22-Jul-2016,1257.55,1249.45,1262.00,1246.00,1520000
25-Jul-2016,1279.47,1256.00,1281.60,1252.90,1690000
26-Jul-2016,1276.30,1279.47,1284.00,1266.50,2310000
27-Jul-2016,1288.78,1277.50,1290.20,1272.50,1750000
28-Jul-2016,1309.62,1290.25,1314.78,1288.53,4630000
29-Jul-2016,1309.65,1307.00,1317.45,1299.50,2490000
1-Aug-2016,1354.12,1316.00,1362.50,1316.00,3960000
2-Aug-2016,1349.60,1351.45,1357.85,1344.90,2580000
3-Aug-2016,1328.15,1343.00,1349.50,1324.53,2290000
4-Aug-2016,1326.00,1335.00,1341.47,1318.12,1420000
5-Aug-2016,1324.55,1336.95,1342.15,1316.00,1870000
8-Aug-2016,1324.75,1320.00,1334.00,1314.53,2060000
9-Aug-2016,1325.10,1329.00,1329.90,1289.42,2260000
10-Aug-2016,1337.70,1325.50,1341.00,1324.00,2060000
11-Aug-2016,1354.95,1332.78,1357.50,1332.78,2230000
12-Aug-2016,1369.22,1352.50,1372.40,1351.03,2330000
16-Aug-2016,1345.85,1369.00,1370.00,1336.92,3180000
17-Aug-2016,1312.28,1349.50,1349.50,1309.00,1850000
18-Aug-2016,1319.28,1317.50,1328.78,1315.05,1290000
19-Aug-2016,1301.75,1320.00,1323.22,1300.00,2420000
22-Aug-2016,1274.35,1294.00,1297.22,1268.15,2270000
23-Aug-2016,1300.53,1272.47,1302.47,1270.10,1500000
24-Aug-2016,1286.03,1294.90,1301.00,1284.53,1120000
25-Aug-2016,1275.53,1290.00,1294.85,1263.00,1940000
26-Aug-2016,1262.47,1279.90,1286.28,1258.60,1250000
29-Aug-2016,1250.28,1267.47,1267.47,1233.38,1490000
30-Aug-2016,1272.08,1255.00,1274.90,1250.62,1440000
31-Aug-2016,1255.65,1275.00,1275.00,1250.42,3230000
1-Sep-2016,1253.75,1262.45,1267.47,1243.53,1350000
2-Sep-2016,1257.40,1256.00,1259.70,1248.03,1740000
6-Sep-2016,1242.03,1259.95,1260.08,1240.00,2240000
7-Sep-2016,1220.28,1249.85,1249.85,1211.50,3850000
8-Sep-2016,1161.05,1180.00,1180.00,1142.38,7020000
9-Sep-2016,1176.22,1164.85,1183.33,1160.03,2740000
12-Sep-2016,1179.53,1168.50,1181.97,1162.00,2020000
14-Sep-2016,1164.22,1181.00,1188.80,1155.00,2070000
15-Sep-2016,1163.47,1169.97,1171.05,1158.38,2820000
16-Sep-2016,1180.85,1168.35,1188.00,1160.00,4360000
