date,open,high,low,close,volume
15-May-2018,635,651.05,630.75,640.1,1379468
16-May-2018,637,648.45,633.2,642.6,893208
17-May-2018,643,648,635.25,641.3,1025053
18-May-2018,631.25,658.1,630.5,649.65,3027877
21-May-2018,644.45,651.85,616.2,626.85,1710169
22-May-2018,628,649.9,616.4,645.05,1927693
23-May-2018,644,649.4,633.5,638.2,1113875
24-May-2018,642,648.45,633.05,645.35,918811
25-May-2018,645,663.85,639.15,659.95,1460439
28-May-2018,664.9,670,656.1,666.15,1814323
29-May-2018,666.05,682,659.8,676.45,1703895
30-May-2018,673,683,670.35,674.9,1647394
31-May-2018,674.95,679.2,661.75,665.4,5114062
01-Jun-2018,666.3,667.9,641.1,649,1605796
04-Jun-2018,650,663.85,641.2,654.55,2726642
05-Jun-2018,695,696.6,575.65,607.4,17474272
06-Jun-2018,618,618,591,608.35,8158782
07-Jun-2018,608,612,601,606,2352438
08-Jun-2018,601,618.5,601,608.05,3608727
11-Jun-2018,610,615.4,602.15,604.25,1455764
12-Jun-2018,606.5,622.4,602.05,616.8,3648604
13-Jun-2018,618,625.8,609.3,612.15,1874574
14-Jun-2018,612,617.5,606.4,614.35,1501493
15-Jun-2018,622,627.55,613.85,623.65,3096138
18-Jun-2018,621,629.45,617.5,620.35,1472205
19-Jun-2018,619.2,622,606.95,608.8,1026679
20-Jun-2018,605.55,627.45,605.55,623.75,1955118
21-Jun-2018,625,626.7,613.5,620.35,1410408
22-Jun-2018,619.9,633.8,615.25,629.65,2051466
25-Jun-2018,636.75,645,632,634.5,4081851
26-Jun-2018,632,640.9,630.8,637,1371449
27-Jun-2018,643.95,643.95,631.55,638.4,1948938
